:IngredientName,IngredientType,Unit,Unit,Recipe
EDIT_PRE_PVD1_Gas4_RT,Analog,EDIT_PRE_PVD1_Gas4_RT,,0
EDIT_PRE_PVD1_Gas4_RR,Analog,EDIT_PRE_PVD1_Gas4_RR,,0
EDIT_PRE_PVD1_Gas4_HT,Analog,EDIT_PRE_PVD1_Gas4_HT,,0
EDIT_PRE_PVD1_Gas4_HR,Analog,EDIT_PRE_PVD1_Gas4_HR,,0
EDIT_PRE_PVD1_Sply_StVal,Analog,EDIT_PRE_PVD1_Sply_StVal,,0
EDIT_PRE_PVD1_Sply_EnVal,Analog,EDIT_PRE_PVD1_Sply_EnVal,,0
EDIT_PRE_PVD1_Sply_RTp,Analog,EDIT_PRE_PVD1_Sply_RTp,,0
EDIT_PRE_PVD1_Sply_RT,Analog,EDIT_PRE_PVD1_Sply_RT,,0
EDIT_PRE_PVD1_Sply_RR,Analog,EDIT_PRE_PVD1_Sply_RR,,0
EDIT_PRE_PVD1_Sply_HT,Analog,EDIT_PRE_PVD1_Sply_HT,,0
EDIT_PRE_PVD1_Sply_HR,Analog,EDIT_PRE_PVD1_Sply_HR,,0
EDIT_PRE_PVD1_SplyMode,Analog,EDIT_PRE_PVD1_SplyMode,,0
EDIT_PRE_PVD1_SplyTAP,Analog,EDIT_PRE_PVD1_SplyTAP,,0
EDIT_PRE_PVD1_SplyCtrlMode,Analog,EDIT_PRE_PVD1_SplyCtrlMode,,0
EDIT_PRE_PVD1_PlasPrSl,Analog,EDIT_PRE_PVD1_PlasPrSl,,0
EDIT_PRE_PVD2_LS_StVal,Analog,EDIT_PRE_PVD2_LS_StVal,,0
EDIT_PRE_PVD2_LS_EnVal,Analog,EDIT_PRE_PVD2_LS_EnVal,,0
EDIT_PRE_PVD2_LS_RTp,Analog,EDIT_PRE_PVD2_LS_RTp,,0
EDIT_PRE_PVD2_LS_RT,Analog,EDIT_PRE_PVD2_LS_RT,,0
EDIT_PRE_PVD2_LS_RR,Analog,EDIT_PRE_PVD2_LS_RR,,0
EDIT_PRE_PVD2_LS_HT,Analog,EDIT_PRE_PVD2_LS_HT,,0
EDIT_PRE_PVD2_LS_HR,Analog,EDIT_PRE_PVD2_LS_HR,,0
EDIT_PRE_PVD2_LSVoltCtrlrOn,Analog,EDIT_PRE_PVD2_LSVoltCtrlrOn,,0
EDIT_PRE_PVD2_LSCCtrlLoopMode,Analog,EDIT_PRE_PVD2_LSCCtrlLoopMode,,1
EDIT_PRE_PVD2_Gas1_StVal,Analog,EDIT_PRE_PVD2_Gas1_StVal,,0
EDIT_PRE_PVD2_Gas1_EnVal,Analog,EDIT_PRE_PVD2_Gas1_EnVal,,0
EDIT_PRE_PVD2_Gas1_RTp,Analog,EDIT_PRE_PVD2_Gas1_RTp,,0
EDIT_PRE_PVD2_Gas1_RT,Analog,EDIT_PRE_PVD2_Gas1_RT,,0
EDIT_PRE_PVD2_Gas1_RR,Analog,EDIT_PRE_PVD2_Gas1_RR,,0
EDIT_PRE_PVD2_Gas1_HT,Analog,EDIT_PRE_PVD2_Gas1_HT,,0
EDIT_PRE_PVD2_Gas1_HR,Analog,EDIT_PRE_PVD2_Gas1_HR,,0
EDIT_PRE_PVD2_Gas2_StVal,Analog,EDIT_PRE_PVD2_Gas2_StVal,,0
EDIT_PRE_PVD2_Gas2_EnVal,Analog,EDIT_PRE_PVD2_Gas2_EnVal,,0
EDIT_PRE_PVD2_Gas2_RTp,Analog,EDIT_PRE_PVD2_Gas2_RTp,,0
EDIT_PRE_PVD2_Gas2_RT,Analog,EDIT_PRE_PVD2_Gas2_RT,,0
EDIT_PRE_PVD2_Gas2_RR,Analog,EDIT_PRE_PVD2_Gas2_RR,,0
EDIT_PRE_PVD2_Gas2_HT,Analog,EDIT_PRE_PVD2_Gas2_HT,,0
EDIT_PRE_PVD2_Gas2_HR,Analog,EDIT_PRE_PVD2_Gas2_HR,,0
EDIT_PRE_PVD2_Gas3_StVal,Analog,EDIT_PRE_PVD2_Gas3_StVal,,0
EDIT_PRE_PVD2_Gas3_EnVal,Analog,EDIT_PRE_PVD2_Gas3_EnVal,,0
EDIT_PRE_PVD2_Gas3_RTp,Analog,EDIT_PRE_PVD2_Gas3_RTp,,0
EDIT_PRE_PVD2_Gas3_RT,Analog,EDIT_PRE_PVD2_Gas3_RT,,0
EDIT_PRE_PVD2_Gas3_RR,Analog,EDIT_PRE_PVD2_Gas3_RR,,0
EDIT_PRE_PVD2_Gas3_HT,Analog,EDIT_PRE_PVD2_Gas3_HT,,0
EDIT_PRE_PVD2_Gas3_HR,Analog,EDIT_PRE_PVD2_Gas3_HR,,0
EDIT_PRE_PVD2_Gas4_StVal,Analog,EDIT_PRE_PVD2_Gas4_StVal,,0
EDIT_PRE_PVD2_Gas4_EnVal,Analog,EDIT_PRE_PVD2_Gas4_EnVal,,0
