:IngredientName,IngredientType,Unit,Unit,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
:Names,,"EDIT","TEST","INIT","---","PVD2_Ta2O5 cond FAT","PVD1_Nb2O5_cond FAT","PVD3_SiO2_cond FAT","PBS_on FAT","Heating_FAT","cooling_FAT","PVD2_Ta2O5_FAT","PVD1_Nb2O5_FAT","PVD3_SiO2_FAT","PVD3_SiO2_FO","PVD3_SiO2_FO v02"
"EDIT_LAYER_NAME",Message,"EDIT_LAYER_NAME","TEST_LAYERNAME","INIT","---","PVD2_Ta2O5 cond FAT","PVD1_Nb2O5_cond FAT","PVD3_SiO2_cond FAT","PBS_on FAT","Heating_FAT","cooling_FAT","PVD2_Ta2O5_FAT","PVD1_Nb2O5_FAT","PVD3_SiO2_FAT","PVD3_SiO2_FO","PVD3_SiO2_FO v02"
"EDIT_PRE_PVD2_LSVoltCtrlrOn",Analog,"EDIT_PRE_PVD2_LSVoltCtrlrOn","","0","0","310","0","0","0","0","0","250","0","0","0","0"
"EDIT_PRE_PVD2_LSCCtrlLoopMode",Analog,"EDIT_PRE_PVD2_LSCCtrlLoopMode","","1","1","1","1","1","1","1","1","1","1","1","1","1"
"EDIT_PRE_PVD2_Gas1_StVal",Analog,"EDIT_PRE_PVD2_Gas1_StVal","","0","0","40","0","0","0","0","0","40","0","0","0","0"
"EDIT_PRE_PVD2_Gas1_EnVal",Analog,"EDIT_PRE_PVD2_Gas1_EnVal","","0","0","40","0","0","0","0","0","25","0","0","0","0"
"EDIT_PRE_PVD2_Gas1_RTp",Analog,"EDIT_PRE_PVD2_Gas1_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas1_RT",Analog,"EDIT_PRE_PVD2_Gas1_RT","","0","0","2","0","0","0","0","0","2","0","0","0","0"
"EDIT_PRE_PVD2_Gas1_RR",Analog,"EDIT_PRE_PVD2_Gas1_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas1_HT",Analog,"EDIT_PRE_PVD2_Gas1_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas1_HR",Analog,"EDIT_PRE_PVD2_Gas1_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas2_StVal",Analog,"EDIT_PRE_PVD2_Gas2_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas2_EnVal",Analog,"EDIT_PRE_PVD2_Gas2_EnVal","","0","0","30","0","0","0","0","0","50","0","0","0","0"
"EDIT_PRE_PVD2_Gas2_RTp",Analog,"EDIT_PRE_PVD2_Gas2_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas2_RT",Analog,"EDIT_PRE_PVD2_Gas2_RT","","0","0","5","0","0","0","0","0","5","0","0","0","0"
"EDIT_PRE_PVD2_Gas2_RR",Analog,"EDIT_PRE_PVD2_Gas2_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas2_HT",Analog,"EDIT_PRE_PVD2_Gas2_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas2_HR",Analog,"EDIT_PRE_PVD2_Gas2_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas3_StVal",Analog,"EDIT_PRE_PVD2_Gas3_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas3_EnVal",Analog,"EDIT_PRE_PVD2_Gas3_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas3_RTp",Analog,"EDIT_PRE_PVD2_Gas3_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
