:IngredientName,IngredientType,Unit,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
:Names,,"PREVIEW","INIT","---","Konditionieren Heat PBS","Nb_SL","Ta-Si_DST","TEST","ttt","TEST!MQ","TESTMATFILE","TEST1","TEST123","Test200"
"EDIT_RECIPE_NAME",Message,"EDIT_RECIPE_NAME","INIT","---","Konditionieren Heat PBS","Nb_SL","Ta-Si_DST","TEST","ttt","TEST!MQ","TESTMATFILE","TEST1","TEST123","Test200"
"EDIT_RECIPE_COMMENT",Message,"EDIT_RECIPE_COMMENT","---","---","---","---","---","---","---","---","---","---","---","---"
"EDIT_RECIPE_CHANGE_DATE",Message,"EDIT_RECIPE_CHANGE_DATE","---","---","---","6/21/2016","4/25/2012","6/8/2016","9/3/2015","11/9/2016","11/17/2015","1/22/2016","11/16/2016","10/4/2017"
"EDIT_RECIPE_EDITOR",Message,"EDIT_RECIPE_EDITOR","MQ","MQ","MQ","admin","MQ","admin","martin","admin","admin","admin","admin","admin"
"PCOPC_PVD2_MBoxPlasRCMode",Analog,"PCOPC_PVD2_MBoxPlasRCMode",1,1,1,1,1,1,1,1,1,1,1,1
"PCOPC_PVD2_MBoxPlasRCTime",Analog,"PCOPC_PVD2_MBoxPlasRCTime",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PVD2_MBoxPlasRCOffDTPlas",Analog,"PCOPC_PVD2_MBoxPlasRCOffDTPlas",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PVD2_MBoxPlasRCDcBiasVolt",Analog,"PCOPC_PVD2_MBoxPlasRCDcBiasVolt",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PVD3_LSCOnDT",Analog,"PCOPC_PVD3_LSCOnDT",0,0,0,1,1,0,0,0,1,0,0,0
"PCOPC_PVD3_LSCLimitFltDT",Analog,"PCOPC_PVD3_LSCLimitFltDT",0,0,0,999,999,0,0,0,999,0,0,0
"PCOPC_PVD3_LSCRegFltDT",Analog,"PCOPC_PVD3_LSCRegFltDT",0,0,0,999,999,0,0,0,999,0,0,0
"PCOPC_PVD3_LSCStartVoltFltDT",Analog,"PCOPC_PVD3_LSCStartVoltFltDT",0,0,0,999,999,0,0,0,999,0,0,0
"PCOPC_PVD3_LSCMaxPwr",Analog,"PCOPC_PVD3_LSCMaxPwr",0,0,0,15000,15000,0,0,0,15000,0,0,0
"PCOPC_PVD3_LSCMaxCurr",Analog,"PCOPC_PVD3_LSCMaxCurr",0,0,0,20,20,0,0,0,20,0,0,0
